epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,472.861,2.44462,2.61825,1.25967,0.13586,0.50455,0.16443,0.04962,2.59483,3.47282,1.35751,0.0829,0.0019,0.0019
2,926.153,2.32072,1.6768,1.21174,0.11211,0.14234,0.0681,0.0168,2.96176,3.28657,1.58152,0.0646426,0.0036426,0.0036426
3,1323.93,2.40177,1.64519,1.27317,0.11211,0.14234,0.0681,0.0168,4.53204,1045.99,6.70073,0.0461212,0.0051212,0.0051212
4,1782.42,2.36673,1.56709,1.25077,0.11211,0.14234,0.0681,0.0168,4.0762,3292.07,16.0566,0.0273358,0.0063358,0.0063358
5,3263,2.35176,1.5364,1.23954,0.03876,0.04091,0.02866,0.01003,2.4242,17.862,2.03582,0.0082864,0.0072864,0.0072864
6,3651.39,2.31025,1.63328,1.23537,0.27036,0.34091,0.16644,0.05573,2.35936,3.7717,1.22985,0.0067,0.0067,0.0067
7,37819.6,2.27755,1.57983,1.19782,0.53279,0.44091,0.39284,0.11951,2.35652,3.22086,1.26089,0.00604,0.00604,0.00604
8,38073.8,2.25906,1.48747,1.23873,0.58256,0.5,0.47097,0.15296,2.3736,1.58993,1.23645,0.00538,0.00538,0.00538
9,38337.8,2.25178,1.42683,1.2298,0.56965,0.50455,0.51862,0.1728,2.28448,1.43906,1.18036,0.00472,0.00472,0.00472
10,38613,2.19884,1.40655,1.17866,0.67559,0.46364,0.53841,0.17048,2.34803,1.36164,1.20737,0.00406,0.00406,0.00406
11,38880.2,2.17529,1.36734,1.17461,0.52625,0.58066,0.56281,0.20951,2.14561,1.31091,1.11406,0.0034,0.0034,0.0034
12,39157.4,2.12149,1.31907,1.15943,0.57975,0.52273,0.55116,0.20615,2.12254,1.38214,1.11867,0.00274,0.00274,0.00274
13,39441.5,2.11791,1.30185,1.16337,0.60687,0.55455,0.58725,0.21927,2.15507,1.25446,1.1321,0.00208,0.00208,0.00208
14,39734.2,2.07911,1.30971,1.13898,0.61922,0.60613,0.60811,0.22163,2.13583,1.24094,1.1387,0.00142,0.00142,0.00142
15,40017,2.033,1.28683,1.13531,0.64446,0.55203,0.60752,0.24195,2.06179,1.19042,1.12163,0.00076,0.00076,0.00076
